Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.14,1.085,1.089
768,8192,2,0.002,0.928,0.914,0.922
768,8192,3,0.002,0.931,0.924,0.926
768,8192,5,0.002,0.948,0.943,0.937
768,8192,10,0.002,1.066,1.013,1.019
768,8192,12,0.002,1.103,1.074,1.075
768,8192,20,0.002,1.322,1.249,1.222
768,8192,30,0.002,1.517,1.491,1.351
768,8192,50,0.002,1.94,1.82,1.627
768,8192,80,0.003,2.645,2.598,2.182
768,8192,100,0.003,3.231,3.202,2.593
768,8192,200,0.005,6.781,6.351,4.558
